threshold	FDR	shuffled_peaks	peaks
20.64	0.10345562231028164	2428.0	23469.0
20.62	0.10493170503382834	2466.0	23501.0
20.6	0.10545562784368755	2480.0	23517.0
20.57	0.10501163036582788	2483.0	23645.0
20.53	0.10736014872401554	2541.0	23668.0
20.52	0.10757997805351566	2549.0	23694.0
20.46	0.10944206008583691	2601.0	23766.0
20.4	0.11048634132012924	2633.0	23831.0
20.39	0.11079902741678545	2643.0	23854.0
20.37	0.11253036267694112	2687.0	23878.0
20.33	0.11296651916172665	2706.0	23954.0
20.29	0.1141835419352156	2746.0	24049.0
20.27	0.11435331230283911	2755.0	24092.0
20.22	0.11598460710886746	2803.0	24167.0
20.18	0.1183248668070871	2865.0	24213.0
20.14	0.11974988687317455	2911.0	24309.0
20.13	0.11995889003083247	2918.0	24325.0
20.11	0.12090576583240867	2942.0	24333.0
20.09	0.12217844537470246	2977.0	24366.0
20.07	0.12616899097621	3076.0	24380.0
20.06	0.12627566703553425	3081.0	24399.0
20.04	0.1271193381931362	3104.0	24418.0
20.03	0.1272057318321392	3107.0	24425.0
20.02	0.12778232405891982	3123.0	24440.0
20.01	0.12883033997463486	3149.0	24443.0
19.98	0.12922173274596183	3168.0	24516.0
19.97	0.12983627922130814	3188.0	24554.0
19.94	0.13000528476767348	3198.0	24599.0
19.92	0.13003901170351106	3200.0	24608.0
19.89	0.13079262112304885	3226.0	24665.0
19.88	0.1303048657379366	3227.0	24765.0
19.87	0.13145067074890224	3263.0	24823.0
19.82	0.13309511382342312	3315.0	24907.0
19.81	0.13405782572081645	3343.0	24937.0
19.79	0.1352174784525957	3373.0	24945.0
19.77	0.13995675156174917	3495.0	24972.0
19.76	0.14145619020934236	3534.0	24983.0
19.71	0.1419504211408726	3556.0	25051.0
19.69	0.14333014201372268	3593.0	25068.0
19.68	0.14443558037495013	3621.0	25070.0
19.66	0.14780112435708306	3707.0	25081.0
19.65	0.15080725533187164	3783.0	25085.0
19.64	0.15101780663665698	3791.0	25103.0
19.62	0.15390127388535033	3866.0	25120.0
19.59	0.15505662626664019	3902.0	25165.0
19.58	0.15530047265361244	3910.0	25177.0
19.54	0.15506792886283519	3915.0	25247.0
19.53	0.15546069014585556	3933.0	25299.0
19.49	0.1564151092185159	3967.0	25362.0
19.47	0.15858319215160946	4025.0	25381.0
19.46	0.15951959047056508	4051.0	25395.0
19.44	0.16079355725790612	4093.0	25455.0
19.41	0.1612004707728521	4109.0	25490.0
19.39	0.16526138279932545	4214.0	25499.0
19.37	0.1654288171370495	4232.0	25582.0
19.35	0.1696745273825765	4353.0	25655.0
19.33	0.17117992151987257	4406.0	25739.0
19.3	0.17175557710960232	4427.0	25775.0
19.28	0.17210130896135079	4444.0	25822.0
19.26	0.1723123378885835	4451.0	25831.0
19.24	0.1740659170820293	4505.0	25881.0
19.21	0.17740191535372257	4594.0	25896.0
19.19	0.17808008015723148	4621.0	25949.0
19.18	0.17937064283788468	4657.0	25963.0
19.17	0.18062131885899066	4692.0	25977.0
19.16	0.18177625763806157	4730.0	26021.0
19.13	0.1817135402678126	4736.0	26063.0
19.12	0.18150894358660755	4749.0	26164.0
19.09	0.183352424589538	4802.0	26190.0
19.08	0.18401863093192838	4820.0	26193.0
19.07	0.1853109500190767	4857.0	26210.0
19.06	0.18853678068870838	4944.0	26223.0
19.04	0.18946726621446536	4972.0	26242.0
19.03	0.1896669968757144	4978.0	26246.0
19.02	0.18981410940118848	4983.0	26252.0
18.98	0.19422681980680004	5107.0	26294.0
18.97	0.1938446358771963	5108.0	26351.0
18.95	0.19499241274658574	5140.0	26360.0
18.94	0.19589856335999392	5168.0	26381.0
18.93	0.19702362920327174	5203.0	26408.0
18.91	0.19981824378052937	5277.0	26409.0
18.9	0.19981103552532123	5287.0	26460.0
18.88	0.19991703122642931	5301.0	26516.0
18.87	0.1998416946213863	5302.0	26531.0
18.86	0.19989463385263792	5312.0	26574.0
18.85	0.2008500394929853	5340.0	26587.0
18.84	0.20114229887648893	5353.0	26613.0
18.83	0.20320654826718731	5412.0	26633.0
18.8	0.20545026354154985	5496.0	26751.0
18.78	0.20812656244169994	5578.0	26801.0
18.73	0.2101681047307349	5651.0	26888.0
18.72	0.21014869888475837	5653.0	26900.0
18.7	0.21083150578002452	5672.0	26903.0
18.69	0.21254549506053627	5723.0	26926.0
18.67	0.21410551309638642	5771.0	26954.0
18.66	0.2134736064968623	5783.0	27090.0
18.64	0.21571665744327614	5847.0	27105.0
18.63	0.21956161355682446	5960.0	27145.0
18.61	0.22034584253127298	5989.0	27180.0
18.6	0.2216712580348944	6035.0	27225.0
18.57	0.22227111062222712	6062.0	27273.0
18.56	0.22525196994685726	6146.0	27285.0
18.54	0.22722946258603016	6207.0	27316.0
18.53	0.22889449994510924	6255.0	27327.0
18.52	0.2288513562915844	6260.0	27354.0
18.5	0.23047244667685812	6332.0	27474.0
18.49	0.23110221898872318	6353.0	27490.0
18.46	0.23138394478750454	6370.0	27530.0
18.44	0.2330213321723988	6423.0	27564.0
18.42	0.2324498049978333	6437.0	27692.0
18.4	0.23244569531644657	6442.0	27714.0
18.39	0.23401645259056142	6486.0	27716.0
18.38	0.23618869148437782	6554.0	27749.0
18.36	0.23868668322713035	6630.0	27777.0
18.34	0.2391218283246356	6644.0	27785.0
18.33	0.2393414336041412	6658.0	27818.0
18.32	0.2396652659555364	6673.0	27843.0
18.3	0.24025414602627612	6693.0	27858.0
18.27	0.2399099131305187	6711.0	27973.0
18.26	0.2416375436844733	6776.0	28042.0
18.25	0.24221897393846484	6794.0	28049.0
18.23	0.2441640828254749	6851.0	28059.0
18.22	0.24575908766928012	6896.0	28060.0
18.21	0.24621522459302533	6912.0	28073.0
18.2	0.24620902730920843	6933.0	28159.0
18.18	0.24951267056530213	7040.0	28215.0
18.16	0.24961048158640226	7049.0	28240.0
18.13	0.2548401939617032	7200.0	28253.0
18.11	0.25811464698195175	7308.0	28313.0
18.09	0.2590724739904779	7346.0	28355.0
18.07	0.2604724964739069	7387.0	28360.0
18.04	0.26132808380497063	7434.0	28447.0
18.02	0.2703889806388137	7695.0	28459.0
17.99	0.27326030475387963	7783.0	28482.0
17.98	0.2729791337892337	7784.0	28515.0
17.96	0.27353694028542375	7801.0	28519.0
17.94	0.27499475267613516	7861.0	28586.0
17.93	0.27727447619713874	7927.0	28589.0
17.92	0.2777447448497779	7941.0	28591.0
17.89	0.27761516481984805	7967.0	28698.0
17.88	0.28107187543445017	8087.0	28772.0
17.87	0.2843613404565323	8197.0	28826.0
17.85	0.2877790101206156	8303.0	28852.0
17.84	0.28804874671098185	8320.0	28884.0
17.83	0.28834780202676996	8337.0	28913.0
17.82	0.28990870106515426	8383.0	28916.0
17.81	0.2918539520088514	8441.0	28922.0
17.79	0.2955314593549278	8558.0	28958.0
17.78	0.2956761412575366	8582.0	29025.0
17.77	0.29580421987402333	8594.0	29053.0
17.75	0.3006126523026089	8734.0	29054.0
17.72	0.3016702178843907	8778.0	29098.0
17.71	0.3020301961724126	8822.0	29209.0
17.7	0.3052973342447027	8933.0	29260.0
17.69	0.30513450771541717	8938.0	29292.0
17.68	0.3050980392156863	8947.0	29325.0
17.67	0.3056747734859323	8974.0	29358.0
17.66	0.307857361806478	9039.0	29361.0
17.65	0.3095246197298125	9096.0	29387.0
17.63	0.310011898691144	9119.0	29415.0
17.62	0.31283776894055265	9204.0	29421.0
17.6	0.3178605409813783	9354.0	29428.0
17.59	0.3190377633766498	9403.0	29473.0
17.58	0.3196799131967991	9428.0	29492.0
17.56	0.3285525378903469	9690.0	29493.0
17.54	0.32992413979951235	9742.0	29528.0
17.53	0.32998137802607075	9746.0	29535.0
17.52	0.33200203080047386	9809.0	29545.0
17.5	0.3312883435582822	9828.0	29666.0
17.48	0.3311467689306018	9844.0	29727.0
17.45	0.33614688771564044	9996.0	29737.0
17.44	0.3357392238485296	10001.0	29788.0
17.42	0.33785640097832276	10084.0	29847.0
17.41	0.33800742947023193	10100.0	29881.0
17.4	0.33859848738370923	10118.0	29882.0
17.39	0.3398882980502324	10163.0	29901.0
17.37	0.3387515821730731	10170.0	30022.0
17.35	0.34181129064432475	10281.0	30078.0
17.34	0.34581768635140075	10406.0	30091.0
17.32	0.3497576200278903	10534.0	30118.0
17.31	0.3501658925016589	10554.0	30140.0
17.29	0.35059853433696986	10573.0	30157.0
17.28	0.3511587043729072	10592.0	30163.0
17.27	0.3530015562398596	10661.0	30201.0
17.24	0.3568803998808302	10781.0	30209.0
17.22	0.35789647759219445	10821.0	30235.0
17.21	0.35782969302448536	10829.0	30263.0
17.19	0.36165505399068787	10952.0	30283.0
17.18	0.36351935579683836	11015.0	30301.0
17.17	0.36414870476567135	11049.0	30342.0
17.15	0.36688162137263935	11151.0	30394.0
17.14	0.3672818184808711	11165.0	30399.0
17.11	0.3707063734674424	11278.0	30423.0
17.1	0.37260633930037773	11344.0	30445.0
17.09	0.37533661740558294	11429.0	30450.0
17.08	0.3780331636841241	11513.0	30455.0
17.07	0.37989890369592333	11574.0	30466.0
17.05	0.3807696092904242	11607.0	30483.0
17.03	0.3822904059402702	11687.0	30571.0
17.01	0.3841700735895339	11746.0	30575.0
16.99	0.38403079030627224	11774.0	30659.0
16.97	0.38673296931877277	11899.0	30768.0
16.96	0.3879153686396677	11954.0	30816.0
16.95	0.3878159429682437	11968.0	30860.0
16.93	0.3883347367057452	11991.0	30878.0
16.91	0.39093557785691163	12076.0	30890.0
16.9	0.3905331179321486	12087.0	30950.0
16.89	0.39113020446396846	12109.0	30959.0
16.87	0.39030521803590423	12110.0	31027.0
16.86	0.3945337620578778	12270.0	31100.0
16.85	0.3956933954684236	12312.0	31115.0
16.84	0.39808099608497527	12405.0	31162.0
16.82	0.39932627526467757	12447.0	31170.0
16.81	0.3983841093440634	12475.0	31314.0
16.8	0.4006894130413967	12554.0	31331.0
16.78	0.4033034660884538	12648.0	31361.0
16.77	0.4043677575448873	12702.0	31412.0
16.76	0.4051060036926211	12726.0	31414.0
16.75	0.4055094315615358	12748.0	31437.0
16.73	0.41229185204016777	12974.0	31468.0
16.69	0.41832618707320945	13171.0	31485.0
16.68	0.41783754638586695	13174.0	31529.0
16.67	0.42091577879249115	13274.0	31536.0
16.66	0.4207974137931034	13277.0	31552.0
16.64	0.42214478061143673	13325.0	31565.0
16.58	0.43548029751542966	13759.0	31595.0
16.56	0.43718958590364115	13820.0	31611.0
16.55	0.4385260161315831	13864.0	31615.0
16.54	0.4412052992696114	13954.0	31627.0
16.52	0.4428081437427232	14072.0	31779.0
16.51	0.44392361657281276	14111.0	31787.0
16.49	0.4471623958497092	14222.0	31805.0
16.47	0.45163620375604546	14381.0	31842.0
16.46	0.45170401054415366	14394.0	31866.0
16.43	0.4534110860295962	14462.0	31896.0
16.41	0.4553319541094602	14526.0	31902.0
16.39	0.45577741612418626	14563.0	31952.0
16.37	0.4630880880880881	14804.0	31968.0
16.36	0.464090297970797	14843.0	31983.0
16.35	0.4652048975512244	14894.0	32016.0
16.34	0.4653190892951693	14940.0	32107.0
16.32	0.4689086096839483	15059.0	32115.0
16.31	0.4725093399750934	15177.0	32120.0
16.28	0.4730892263734899	15233.0	32199.0
16.26	0.4744620734622908	15281.0	32207.0
16.24	0.4795510216737465	15466.0	32251.0
16.23	0.48080914469811964	15521.0	32281.0
16.2	0.489223337049424	15798.0	32292.0
16.18	0.4905041756882153	15858.0	32330.0
16.17	0.4944997218960509	16003.0	32362.0
16.11	0.5012508107106458	16230.0	32379.0
16.1	0.5015897515048618	16249.0	32395.0
16.08	0.5021604938271605	16270.0	32400.0
16.06	0.50639898849724	16421.0	32427.0
16.05	0.5081835835157045	16487.0	32443.0
16.04	0.5083112725481747	16513.0	32486.0
16.03	0.5113223801612209	16619.0	32502.0
16.02	0.5141670512228887	16713.0	32505.0
16.0	0.5146534775129025	16753.0	32552.0
15.99	0.5164312039312039	16815.0	32560.0
15.98	0.5174722102806608	16852.0	32566.0
15.97	0.5238372985418266	17064.0	32575.0
15.96	0.5260638787469702	17146.0	32593.0
15.95	0.5290929135787346	17277.0	32654.0
15.94	0.529831110023253	17317.0	32684.0
15.92	0.530710877278845	17350.0	32692.0
15.91	0.5319044852783807	17397.0	32707.0
15.9	0.5330950853721861	17453.0	32739.0
15.89	0.5332498778700537	17465.0	32752.0
15.88	0.535369873046875	17543.0	32768.0
15.87	0.535393909806554	17547.0	32774.0
15.86	0.5381495486704074	17647.0	32792.0
15.85	0.5373184221722482	17681.0	32906.0
15.84	0.5380693715291476	17731.0	32953.0
15.83	0.5384708737864078	17748.0	32960.0
15.82	0.5388486373419832	17775.0	32987.0
