threshold	FDR	shuffled_peaks	peaks
40.43	0.0	0.0	5753.0
33.81	0.00042087542087542086	3.0	7128.0
33.2	0.006211180124223602	45.0	7245.0
32.39	0.008821170809943865	66.0	7482.0
30.29	0.019331504115739587	155.0	8018.0
29.97	0.019709929341762737	159.0	8067.0
29.8	0.020500305064063452	168.0	8195.0
28.55	0.027892089620484683	244.0	8748.0
27.63	0.040079496522027164	363.0	9057.0
27.42	0.041088345450539764	373.0	9078.0
27.15	0.043922152504519835	413.0	9403.0
26.78	0.04328824141519251	416.0	9610.0
26.08	0.05105740181268882	507.0	9930.0
26.05	0.052205220522052204	522.0	9999.0
25.19	0.05549698073420876	579.0	10433.0
25.16	0.06290630975143403	658.0	10460.0
25.0	0.06693654678968179	711.0	10622.0
24.75	0.06747737039407516	738.0	10937.0
24.45	0.06585711753235242	743.0	11282.0
24.0	0.06490238611713665	748.0	11525.0
23.72	0.06788534157226227	791.0	11652.0
23.62	0.07100085543199315	830.0	11690.0
23.43	0.07503399048266485	883.0	11768.0
23.28	0.08028951354990742	954.0	11882.0
23.19	0.08117182909426676	967.0	11913.0
23.16	0.08685446009389672	1036.0	11928.0
23.13	0.09157049673858504	1095.0	11958.0
22.64	0.09361493924814483	1148.0	12263.0
22.51	0.09687550330165888	1203.0	12418.0
22.24	0.09530906808911202	1215.0	12748.0
22.19	0.09696353106902489	1239.0	12778.0
22.16	0.10201688555347092	1305.0	12792.0
22.04	0.10607243209491102	1359.0	12812.0
21.72	0.10695432637135643	1398.0	13071.0
21.68	0.10828754578754579	1419.0	13104.0
21.67	0.10895238095238095	1430.0	13125.0
21.59	0.11262695164468697	1486.0	13194.0
21.57	0.11258778222457147	1491.0	13243.0
21.48	0.11418296246347494	1524.0	13347.0
21.43	0.11443714541654225	1533.0	13396.0
21.36	0.11460272544493261	1539.0	13429.0
21.3	0.11934645376903082	1607.0	13465.0
21.23	0.12090437361008154	1631.0	13490.0
21.1	0.12093195266272189	1635.0	13520.0
21.06	0.12124108521432247	1649.0	13601.0
20.99	0.12086551070960222	1659.0	13726.0
20.9	0.12628307069538816	1747.0	13834.0
20.77	0.13783919959691932	1915.0	13893.0
20.7	0.13754195529529387	1926.0	14003.0
20.64	0.13714772485270108	1932.0	14087.0
20.63	0.14090102873359348	1986.0	14095.0
20.52	0.13986652616789602	1991.0	14235.0
20.38	0.13925545214613141	2005.0	14398.0
20.31	0.13969925854064166	2016.0	14431.0
20.25	0.1400442172170789	2027.0	14474.0
20.2	0.1419141914191419	2064.0	14544.0
20.13	0.14198378898200303	2067.0	14558.0
20.07	0.14467910038398243	2110.0	14584.0
20.02	0.14399727148703956	2111.0	14660.0
19.95	0.14929539110899312	2193.0	14689.0
19.9	0.15251122907309106	2241.0	14694.0
19.74	0.15475630252100842	2302.0	14875.0
19.68	0.15624161073825504	2328.0	14900.0
19.66	0.1607166823245202	2395.0	14902.0
19.6	0.16639925123679636	2489.0	14958.0
19.56	0.16744558686072908	2508.0	14978.0
19.52	0.16771419120079392	2535.0	15115.0
19.46	0.16849720486682013	2562.0	15205.0
19.42	0.16677503250975292	2565.0	15380.0
19.17	0.1648814078041316	2586.0	15684.0
19.14	0.16485126441174597	2588.0	15699.0
19.07	0.16630669546436286	2618.0	15742.0
