threshold	FDR	shuffled_peaks	peaks
14.86	0.07401098667120896	1738.0	23483.0
14.84	0.07528711186729052	1770.0	23510.0
14.83	0.07743005357598436	1821.0	23518.0
14.81	0.07783489824531589	1832.0	23537.0
14.79	0.07801238022555754	1840.0	23586.0
14.77	0.0779599425335925	1845.0	23666.0
14.76	0.0783303054628417	1854.0	23669.0
14.74	0.07894625744079031	1870.0	23687.0
14.73	0.08083364974897693	1916.0	23703.0
14.72	0.083818197149844	1988.0	23718.0
14.69	0.08380287612480027	1993.0	23782.0
14.67	0.08376039653868772	1994.0	23806.0
14.64	0.08605477733639975	2058.0	23915.0
14.63	0.08636040630355725	2066.0	23923.0
14.61	0.08664048792714513	2074.0	23938.0
14.59	0.08681337000916896	2083.0	23994.0
14.58	0.08720422505925896	2097.0	24047.0
14.55	0.08703220191470844	2100.0	24129.0
14.54	0.0870556061987238	2101.0	24134.0
14.53	0.08701411599122408	2102.0	24157.0
14.52	0.08686676850666777	2104.0	24221.0
14.51	0.08815881794543728	2136.0	24229.0
14.49	0.08802397668021514	2144.0	24357.0
14.48	0.08799278007958321	2145.0	24377.0
14.46	0.09020185890349261	2203.0	24423.0
14.44	0.0910353844896625	2228.0	24474.0
14.43	0.09118764554479716	2232.0	24477.0
14.42	0.09156941157267608	2244.0	24506.0
14.41	0.09163915046267987	2248.0	24531.0
14.4	0.09201205113590098	2260.0	24562.0
14.37	0.09303082052533138	2288.0	24594.0
14.35	0.09413724454556535	2317.0	24613.0
14.34	0.0954159730399123	2350.0	24629.0
14.33	0.09683962838249016	2387.0	24649.0
14.32	0.09765197291049921	2408.0	24659.0
14.31	0.09795025520537956	2418.0	24686.0
14.29	0.10007283910650697	2473.0	24712.0
14.28	0.10051348400921846	2486.0	24733.0
14.27	0.10069528660360579	2491.0	24738.0
14.26	0.1011707710940654	2506.0	24770.0
14.25	0.10229704089459449	2534.0	24771.0
14.24	0.10326328102940584	2560.0	24791.0
14.21	0.10473434611365647	2606.0	24882.0
14.2	0.10582858975386836	2640.0	24946.0
14.18	0.10921679273222075	2729.0	24987.0
14.17	0.10971510883482714	2742.0	24992.0
14.15	0.11128407775515907	2788.0	25053.0
14.14	0.11184236767580072	2804.0	25071.0
14.13	0.11225832170619893	2816.0	25085.0
14.12	0.11339918744523221	2847.0	25106.0
14.11	0.11392757660167131	2863.0	25130.0
14.1	0.11643263455189148	2927.0	25139.0
14.09	0.11756520356234097	2957.0	25152.0
14.08	0.11910148033496051	3001.0	25197.0
14.07	0.11981274299769896	3020.0	25206.0
14.06	0.11980963712076145	3021.0	25215.0
14.05	0.12128418549346016	3060.0	25230.0
14.04	0.12237720788714584	3097.0	25307.0
14.03	0.12241440447578898	3107.0	25381.0
14.02	0.12462137602769364	3168.0	25421.0
14.0	0.12571248869845514	3198.0	25439.0
13.99	0.12633563796354494	3216.0	25456.0
13.98	0.12649136577708006	3223.0	25480.0
13.96	0.1266363565101513	3231.0	25514.0
13.95	0.12884660559079164	3291.0	25542.0
13.94	0.12966224413917263	3313.0	25551.0
13.93	0.12960719171389487	3316.0	25585.0
13.92	0.13264111171832305	3398.0	25618.0
13.91	0.133840452506339	3431.0	25635.0
13.9	0.13415442179522158	3442.0	25657.0
13.88	0.13570595099183197	3489.0	25710.0
13.87	0.1358989310009718	3496.0	25725.0
13.86	0.13640778585026614	3511.0	25739.0
13.85	0.13682983682983682	3522.0	25740.0
13.84	0.13714374466102353	3532.0	25754.0
13.83	0.14089920795154526	3629.0	25756.0
13.82	0.14244140928139065	3671.0	25772.0
13.81	0.14296796214413157	3686.0	25782.0
13.79	0.14366524602867106	3708.0	25810.0
13.78	0.146934665582278	3794.0	25821.0
13.77	0.15317930260458995	3958.0	25839.0
13.75	0.1574772683304314	4070.0	25845.0
13.74	0.15880259900990099	4106.0	25856.0
13.73	0.15971551157666886	4132.0	25871.0
13.72	0.15978525356301418	4137.0	25891.0
13.71	0.16058957441061852	4162.0	25917.0
13.69	0.1615040838341809	4192.0	25956.0
13.68	0.16208527161585484	4216.0	26011.0
13.67	0.16206459541457044	4220.0	26039.0
13.66	0.16282730553635874	4241.0	26046.0
13.65	0.1641401542771616	4277.0	26057.0
13.64	0.16479644594232315	4303.0	26111.0
13.63	0.1652054060262644	4315.0	26119.0
13.62	0.16648215308264935	4361.0	26195.0
13.6	0.16730182926829268	4390.0	26240.0
13.59	0.1674475298061174	4396.0	26253.0
13.58	0.16978329588300262	4458.0	26257.0
13.57	0.173410843877047	4564.0	26319.0
13.56	0.1733368772782503	4565.0	26336.0
13.55	0.1748150957709084	4609.0	26365.0
13.54	0.176011221047045	4643.0	26379.0
13.53	0.17590981311946735	4650.0	26434.0
13.52	0.17687306267483177	4679.0	26454.0
13.51	0.17865367916336317	4732.0	26487.0
13.5	0.18072334642102084	4787.0	26488.0
13.49	0.18154716981132074	4811.0	26500.0
13.48	0.1830289767582252	4851.0	26504.0
13.47	0.1829907599471997	4852.0	26515.0
13.46	0.1837234724264013	4874.0	26529.0
13.45	0.1861936504349791	4944.0	26553.0
13.44	0.18698942137559763	4967.0	26563.0
13.43	0.1873494882600843	4979.0	26576.0
13.42	0.18868989389720822	5015.0	26578.0
13.41	0.19203280168522419	5105.0	26584.0
13.4	0.19356901090635578	5147.0	26590.0
13.39	0.19453001728153882	5178.0	26618.0
13.38	0.19721377342195187	5252.0	26631.0
13.37	0.19856800119958015	5297.0	26676.0
13.36	0.19852390229282182	5299.0	26692.0
13.35	0.20034413106905063	5356.0	26734.0
13.34	0.20044118746728481	5361.0	26746.0
13.33	0.2007323817352963	5372.0	26762.0
13.32	0.20460147904683648	5478.0	26774.0
13.31	0.20631602523423792	5527.0	26789.0
13.3	0.20719241960755055	5554.0	26806.0
13.29	0.20888739896450256	5608.0	26847.0
13.28	0.20991698618918214	5639.0	26863.0
13.27	0.21196682905061173	5700.0	26891.0
13.26	0.21320060914459757	5740.0	26923.0
13.25	0.21442357657189517	5777.0	26942.0
13.24	0.2152607760219601	5803.0	26958.0
13.23	0.2149761137651372	5805.0	27003.0
13.22	0.21597304502369669	5833.0	27008.0
13.21	0.22031203785862172	5959.0	27048.0
13.2	0.22252595027889624	6024.0	27071.0
13.19	0.222975712232337	6050.0	27133.0
13.17	0.22525936281362666	6123.0	27182.0
13.16	0.22641440117560618	6163.0	27220.0
13.14	0.23206162876008804	6326.0	27260.0
13.13	0.23467703480908192	6398.0	27263.0
13.12	0.23501594633234357	6411.0	27279.0
13.11	0.23512177256912653	6420.0	27305.0
13.1	0.23734710320076174	6481.0	27306.0
13.09	0.23844549346799868	6516.0	27327.0
13.08	0.24479052423777145	6696.0	27354.0
13.07	0.24481297486849796	6702.0	27376.0
13.06	0.24554419284149015	6723.0	27380.0
13.05	0.2458202526100606	6734.0	27394.0
13.04	0.2468892537858055	6766.0	27405.0
13.03	0.24674567000911576	6767.0	27425.0
13.02	0.2500911145127196	6862.0	27438.0
13.01	0.25093646579626866	6900.0	27497.0
13.0	0.2514362591811505	6915.0	27502.0
12.99	0.2525241519575797	6953.0	27534.0
12.98	0.2543936092955701	7006.0	27540.0
12.97	0.25441016333938293	7009.0	27550.0
12.96	0.2552906218292506	7045.0	27596.0
12.95	0.25863005759408847	7140.0	27607.0
12.94	0.2593249800825668	7161.0	27614.0
12.93	0.26098443720593556	7211.0	27630.0
12.92	0.2613381555153707	7226.0	27650.0
12.91	0.26241518694961746	7271.0	27708.0
12.9	0.26363833164958866	7307.0	27716.0
12.89	0.2645743145743146	7334.0	27720.0
12.88	0.27075070310809835	7509.0	27734.0
12.87	0.27258634364409834	7561.0	27738.0
12.86	0.2747296322999279	7621.0	27740.0
12.83	0.2789490755757379	7740.0	27747.0
12.82	0.2800230530941575	7774.0	27762.0
12.8	0.28580675320939264	7948.0	27809.0
12.79	0.2928266101512267	8152.0	27839.0
12.78	0.3000035915670007	8353.0	27843.0
12.77	0.30451788854200307	8486.0	27867.0
12.76	0.3070471001505484	8566.0	27898.0
12.75	0.30926211020013605	8638.0	27931.0
12.74	0.30956129678666	8651.0	27946.0
12.73	0.3103497603890995	8678.0	27962.0
12.72	0.31103655054254714	8714.0	28016.0
12.71	0.3120539537539252	8745.0	28024.0
12.69	0.3178396889380373	8910.0	28033.0
12.68	0.32035341479924473	8992.0	28069.0
12.67	0.32333048554748683	9083.0	28092.0
12.66	0.3242369328074477	9125.0	28143.0
12.65	0.32583910495471496	9174.0	28155.0
12.64	0.3275219259311863	9224.0	28163.0
12.63	0.32921854492568553	9281.0	28191.0
12.62	0.3298377382555091	9310.0	28226.0
12.61	0.33123407868666854	9362.0	28264.0
12.6	0.3337103272778681	9442.0	28294.0
12.59	0.3338277359889819	9453.0	28317.0
12.58	0.3379685183878026	9576.0	28334.0
12.57	0.3414462081128748	9680.0	28350.0
12.56	0.3461117968612238	9814.0	28355.0
12.55	0.3484714925425761	9883.0	28361.0
12.54	0.35060771534261054	9952.0	28385.0
12.53	0.35212061434408903	9996.0	28388.0
12.52	0.3540383600211156	10060.0	28415.0
12.51	0.3585217483033862	10196.0	28439.0
12.5	0.3586635750421585	10209.0	28464.0
12.49	0.3623081515822007	10316.0	28473.0
12.48	0.3624907859173716	10327.0	28489.0
12.47	0.3658245614035088	10426.0	28500.0
12.46	0.36876424189307627	10519.0	28525.0
12.45	0.36905554582092165	10531.0	28535.0
12.44	0.3734800434523601	10658.0	28537.0
12.43	0.37445705478492364	10690.0	28548.0
12.42	0.3748690733887298	10737.0	28642.0
12.41	0.37617784602498777	10779.0	28654.0
12.4	0.37814363947120583	10841.0	28669.0
12.39	0.3786184554289894	10869.0	28707.0
12.38	0.38068379639300887	10934.0	28722.0
12.37	0.38222299530353104	10987.0	28745.0
12.36	0.38263620875491117	11005.0	28761.0
12.35	0.3851421817423347	11079.0	28766.0
12.34	0.38614893025840513	11118.0	28792.0
12.33	0.38808300943920043	11183.0	28816.0
12.32	0.3933937059782797	11338.0	28821.0
12.31	0.39353988134475937	11343.0	28823.0
12.3	0.40140820644445213	11573.0	28831.0
12.29	0.40480482562573666	11677.0	28846.0
12.27	0.4077532247466888	11791.0	28917.0
12.26	0.4082295988934993	11806.0	28920.0
12.25	0.41089416310197324	11911.0	28988.0
12.24	0.4126513296312903	11964.0	28993.0
12.23	0.41671833023351934	12099.0	29034.0
12.22	0.4241046831955923	12316.0	29040.0
12.21	0.42398485891259463	12321.0	29060.0
12.2	0.4278639474498745	12441.0	29077.0
12.19	0.4339966319551844	12628.0	29097.0
12.18	0.4358173076923077	12691.0	29120.0
12.17	0.43795395367959433	12783.0	29188.0
12.16	0.4424248647908537	12925.0	29214.0
12.15	0.4430527036276523	12946.0	29220.0
12.14	0.4454178358770789	13016.0	29222.0
12.13	0.44782801872927985	13103.0	29259.0
12.12	0.44992311635058946	13167.0	29265.0
12.11	0.45144339043199344	13230.0	29306.0
12.1	0.4529267294310274	13278.0	29316.0
12.09	0.4539195637355147	13318.0	29340.0
12.08	0.4551092030392858	13357.0	29349.0
12.07	0.45666746061451563	13421.0	29389.0
12.06	0.4600285753163696	13523.0	29396.0
12.05	0.46163000238006185	13577.0	29411.0
12.04	0.46499151103565367	13694.0	29450.0
